,County,Year,County_Population,Date,Metro,State,Month,Rent,Med_Monthly_Income
1,"Ada County, Idaho",2013,416464,2013/2/1,"Boise City, Idaho",Idaho,2,1096.166667,4378.5
2,"Ada County, Idaho",2013,416464,2013/9/1,"Boise City, Idaho",Idaho,9,1151.666667,4378.5
3,"Ada County, Idaho",2013,416464,2013/7/1,"Boise City, Idaho",Idaho,7,1134,4378.5
4,"Ada County, Idaho",2013,416464,2013/3/1,"Boise City, Idaho",Idaho,3,1104.166667,4378.5
5,"Ada County, Idaho",2013,416464,2013/4/1,"Boise City, Idaho",Idaho,4,1111.5,4378.5
6,"Ada County, Idaho",2013,416464,2013/12/1,"Boise City, Idaho",Idaho,12,1181.166667,4378.5
7,"Ada County, Idaho",2013,416464,2013/6/1,"Boise City, Idaho",Idaho,6,1126,4378.5
8,"Ada County, Idaho",2013,416464,2013/11/1,"Boise City, Idaho",Idaho,11,1171.166667,4378.5
9,"Ada County, Idaho",2013,416464,2013/1/1,"Boise City, Idaho",Idaho,1,1085.666667,4378.5
10,"Ada County, Idaho",2013,416464,2013/5/1,"Boise City, Idaho",Idaho,5,1117.833333,4378.5
11,"Ada County, Idaho",2013,416464,2013/8/1,"Boise City, Idaho",Idaho,8,1143.666667,4378.5
12,"Ada County, Idaho",2013,416464,2013/10/1,"Boise City, Idaho",Idaho,10,1160.5,4378.5
13,"Ada County, Idaho",2014,426236,2014/4/1,"Boise City, Idaho",Idaho,4,1193.333333,4809.666667
14,"Ada County, Idaho",2014,426236,2014/7/1,"Boise City, Idaho",Idaho,7,1208.833333,4809.666667
15,"Ada County, Idaho",2014,426236,2014/6/1,"Boise City, Idaho",Idaho,6,1202.666667,4809.666667
16,"Ada County, Idaho",2014,426236,2014/3/1,"Boise City, Idaho",Idaho,3,1188.833333,4809.666667
17,"Ada County, Idaho",2014,426236,2014/1/1,"Boise City, Idaho",Idaho,1,1185.666667,4809.666667
18,"Ada County, Idaho",2014,426236,2014/12/1,"Boise City, Idaho",Idaho,12,1238,4809.666667
19,"Ada County, Idaho",2014,426236,2014/10/1,"Boise City, Idaho",Idaho,10,1232.666667,4809.666667
20,"Ada County, Idaho",2014,426236,2014/11/1,"Boise City, Idaho",Idaho,11,1235.833333,4809.666667
21,"Ada County, Idaho",2014,426236,2014/2/1,"Boise City, Idaho",Idaho,2,1189.333333,4809.666667
22,"Ada County, Idaho",2014,426236,2014/5/1,"Boise City, Idaho",Idaho,5,1198.666667,4809.666667
23,"Ada County, Idaho",2014,426236,2014/8/1,"Boise City, Idaho",Idaho,8,1216.333333,4809.666667
24,"Ada County, Idaho",2014,426236,2014/9/1,"Boise City, Idaho",Idaho,9,1226.333333,4809.666667
25,"Ada County, Idaho",2015,434211,2015/9/1,"Boise City, Idaho",Idaho,9,1305.5,4783.25
26,"Ada County, Idaho",2015,434211,2015/11/1,"Boise City, Idaho",Idaho,11,1299,4783.25
27,"Ada County, Idaho",2015,434211,2015/5/1,"Boise City, Idaho",Idaho,5,1278.5,4783.25
28,"Ada County, Idaho",2015,434211,2015/1/1,"Boise City, Idaho",Idaho,1,1242.5,4783.25
29,"Ada County, Idaho",2015,434211,2015/4/1,"Boise City, Idaho",Idaho,4,1269,4783.25
30,"Ada County, Idaho",2015,434211,2015/10/1,"Boise City, Idaho",Idaho,10,1303.5,4783.25
31,"Ada County, Idaho",2015,434211,2015/7/1,"Boise City, Idaho",Idaho,7,1295.666667,4783.25
32,"Ada County, Idaho",2015,434211,2015/6/1,"Boise City, Idaho",Idaho,6,1287.166667,4783.25
33,"Ada County, Idaho",2015,434211,2015/8/1,"Boise City, Idaho",Idaho,8,1302.833333,4783.25
34,"Ada County, Idaho",2015,434211,2015/2/1,"Boise City, Idaho",Idaho,2,1252.333333,4783.25
35,"Ada County, Idaho",2015,434211,2015/3/1,"Boise City, Idaho",Idaho,3,1260.833333,4783.25
36,"Ada County, Idaho",2015,434211,2015/12/1,"Boise City, Idaho",Idaho,12,1295.333333,4783.25
37,"Ada County, Idaho",2016,444028,2016/1/1,"Boise City, Idaho",Idaho,1,1296,5108.416667
38,"Ada County, Idaho",2016,444028,2016/11/1,"Boise City, Idaho",Idaho,11,1342.166667,5108.416667
39,"Ada County, Idaho",2016,444028,2016/8/1,"Boise City, Idaho",Idaho,8,1329.333333,5108.416667
40,"Ada County, Idaho",2016,444028,2016/3/1,"Boise City, Idaho",Idaho,3,1306.5,5108.416667
41,"Ada County, Idaho",2016,444028,2016/6/1,"Boise City, Idaho",Idaho,6,1323.833333,5108.416667
42,"Ada County, Idaho",2016,444028,2016/12/1,"Boise City, Idaho",Idaho,12,1347.166667,5108.416667
43,"Ada County, Idaho",2016,444028,2016/2/1,"Boise City, Idaho",Idaho,2,1302.166667,5108.416667
44,"Ada County, Idaho",2016,444028,2016/4/1,"Boise City, Idaho",Idaho,4,1310.666667,5108.416667
45,"Ada County, Idaho",2016,444028,2016/5/1,"Boise City, Idaho",Idaho,5,1317.166667,5108.416667
