,County,Year,Metro,State,Avg_Annual_Rent,Med_Annual_Income,County_Population,Rent_Income,Percent_AnnualRent_Change,Percent_Pop_Change,Percent_AnnualIncome_Change
1,"Ada County, Idaho",2013,"Boise City, Idaho",Idaho,13583.5,52542,416464,0.258526512,NA,NA,NA
2,"Ada County, Idaho",2014,"Boise City, Idaho",Idaho,14516.5,57716,426236,0.251516044,0.068686274,0.023464213,0.098473602
3,"Ada County, Idaho",2015,"Boise City, Idaho",Idaho,15392.16667,57399,434211,0.268160885,0.060322162,0.018710292,-0.005492411
4,"Ada County, Idaho",2016,"Boise City, Idaho",Idaho,15870.5,61301,444028,0.258894635,0.031076413,0.022608824,0.067980278
5,"Adams County, Colorado",2013,"Denver, Colorado",Colorado,17350.57143,54878,469193,0.316166249,NA,NA,NA
6,"Adams County, Colorado",2014,"Denver, Colorado",Colorado,18711.71429,59659,480718,0.313644451,0.078449454,0.024563453,0.087120522
7,"Adams County, Colorado",2015,"Denver, Colorado",Colorado,20944.28571,63493,491337,0.329867634,0.119314104,0.022089874,0.064265241
8,"Adams County, Colorado",2016,"Denver, Colorado",Colorado,22160.64286,66033,498187,0.335599516,0.058075847,0.013941551,0.04000441
9,"Adams County, Illinois",2013,"Quincy, Illinois",Illinois,14338.66667,41327,67130,0.346956388,NA,NA,NA
10,"Adams County, Illinois",2014,"Quincy, Illinois",Illinois,14482.66667,45606,66988,0.317560555,0.010042775,-0.002115299,0.103540059
11,"Adams County, Illinois",2015,"Quincy, Illinois",Illinois,14210,46528,67013,0.305407497,-0.018827104,0.000373201,0.020216638
12,"Adams County, Illinois",2016,"Quincy, Illinois",Illinois,14341.66667,51624,66578,0.277810063,0.009265775,-0.006491278,0.109525447
13,"Adams County, Pennsylvania",2013,"Gettysburg, Pennsylvania",Pennsylvania,14372.48276,59029,101546,0.243481725,NA,NA,NA
14,"Adams County, Pennsylvania",2014,"Gettysburg, Pennsylvania",Pennsylvania,14213.58621,61543,101714,0.230953743,-0.011055609,0.001654423,0.042589236
15,"Adams County, Pennsylvania",2015,"Gettysburg, Pennsylvania",Pennsylvania,14549.86207,61023,102295,0.238432428,0.023658763,0.005712095,-0.008449377
16,"Adams County, Pennsylvania",2016,"Gettysburg, Pennsylvania",Pennsylvania,15221.55172,59300,102180,0.256687213,0.046164675,-0.0011242,-0.028235256
17,"Aiken County, South Carolina",2013,"Augusta, South Carolina",South Carolina,9704,42259,164176,0.229631558,NA,NA,NA
18,"Aiken County, South Carolina",2014,"Augusta, South Carolina",South Carolina,9436.666667,48882,164753,0.19304993,-0.027548777,0.003514521,0.156724011
19,"Aiken County, South Carolina",2015,"Augusta, South Carolina",South Carolina,9967.333333,47219,165829,0.211087345,0.056234546,0.006530989,-0.034020703
20,"Aiken County, South Carolina",2016,"Augusta, South Carolina",South Carolina,9810,45945,167458,0.213516161,-0.015784897,0.009823372,-0.026980665
21,"Alachua County, Florida",2013,"Gainesville, Florida",Florida,13381.71429,38454,253451,0.347992778,NA,NA,NA
